,predictGap,pos,timeFrag,traffic1_1,traffic1_2,traffic1_3,traffic1_4,traffic2_1,traffic2_2,traffic2_3,traffic2_4,traffic3_1,traffic3_2,traffic3_3,traffic3_4,w1_weatherLevel,w1_temperature,w1_pm2.5,w2_weatherLevel,w2_temperature,w2_pm2.5,w3_weatherLevel,w3_temperature,w3_pm2.5,requestNum1,requestNum2,requestNum3,responseNum1,responseNum2,responseNum3,gap1,gap2,gap3,meanPrice1,meanPrice2,meanPrice3,totalPrice1,totalPrice2,totalPrice3,facility19#3,facility20,facility19,facility20#8,facility11#8,facility13#4,facility24#1,facility11#4,date2week,isHoliday,time_fragment,isRushHour,transOrders1,transOrders2,transOrders3,isWeek,isWeatherDecrease,sameZoneRate,before3DestOrders
0,4,1,2016-01-01-46,1347,206,61,61,1190,184,86,45,1239,136,62,62,1,2.0,181,1,2.0,181,1,2.0,181,112,106,156,109,97,98,3,9,58,14.9455357143,13.1386792453,13.0724358974,1673.9,1392.7,2039.3,20418,26394,52041,44073,40836,36603,59179,43243,5,1,43,1,54,35,77,1,0,0.860892388451,259
1,4,1,2016-01-01-58,1500,279,87,77,1393,351,106,87,1493,337,92,74,8,3.0,178,8,3.0,178,8,3.0,178,145,125,125,138,123,122,7,2,3,18.3234482759,12.6968,11.9304,2656.9,1587.1,1491.3,20418,26394,52041,44073,40836,36603,59179,43243,5,1,55,1,66,47,41,1,0,0.86601192564,415
2,15,1,2016-01-01-70,1448,336,124,93,1415,301,83,62,1397,335,103,83,2,7.0,205,2,6.0,205,2,6.0,205,178,196,192,162,189,189,16,7,3,15.0438202247,11.8142857143,12.7270833333,2677.8,2315.6,2443.6,20418,26394,52041,44073,40836,36603,59179,43243,5,1,67,0,82,71,71,1,0,0.872844827586,531
3,18,1,2016-01-01-82,1388,363,126,98,1392,374,104,88,1474,356,110,97,2,10.0,232,2,10.0,232,2,10.0,232,225,206,210,218,196,204,7,10,6,13.5888888889,12.4946601942,12.6185714286,3057.5,2573.9,2649.9,20418,26394,52041,44073,40836,36603,59179,43243,5,1,79,0,89,71,87,1,0,0.877585787296,563
4,2,1,2016-01-01-94,1465,348,128,87,1363,328,119,88,1493,342,95,97,2,12.0,189,2,12.0,189,9,12.0,189,226,216,205,217,208,201,9,8,4,12.7557522124,13.050462963,15.1785365854,2882.8,2818.9,3111.6,20418,26394,52041,44073,40836,36603,59179,43243,5,1,91,0,94,105,103,1,0,0.870103092784,503
5,11,1,2016-01-01-106,1432,448,133,119,1416,440,164,93,1491,403,146,74,2,10.0,154,2,11.0,154,2,11.0,154,280,275,283,273,268,274,7,7,9,12.1496428571,10.8334545455,11.7886925795,3401.9,2979.2,3336.2,20418,26394,52041,44073,40836,36603,59179,43243,5,1,103,1,127,110,125,1,0,0.865007267442,739
6,9,1,2016-01-01-118,1376,436,156,96,1395,443,173,119,1387,441,172,124,2,9.0,153,2,9.0,153,2,9.0,153,235,295,261,229,283,255,6,12,6,11.9923404255,12.64,12.1045977011,2818.2,3728.8,3159.3,20418,26394,52041,44073,40836,36603,59179,43243,5,1,115,0,108,138,110,1,0,0.871411483254,592
7,8,1,2016-01-01-130,1401,392,100,91,1445,391,124,93,1373,378,133,110,2,8.0,133,2,8.0,133,3,8.0,133,267,283,286,257,280,279,10,3,7,10.134082397,12.1102473498,11.4143356643,2705.8,3427.2,3264.5,20418,26394,52041,44073,40836,36603,59179,43243,5,1,127,1,110,144,130,1,0,0.84121355398,597
8,4,1,2016-01-01-142,1354,300,94,70,1391,291,77,66,1372,294,102,61,2,8.0,126,2,8.0,126,2,8.0,126,113,118,116,112,113,112,1,5,4,14.8318584071,12.4915254237,17.1206896552,1676.0,1474.0,1986.0,20418,26394,52041,44073,40836,36603,59179,43243,5,1,139,0,54,58,58,1,0,0.826241134752,228
9,0,2,2016-01-01-46,598,44,12,9,588,51,7,15,679,37,16,9,1,2.0,181,1,2.0,181,1,2.0,181,13,6,2,13,6,2,0,0,0,7.69230769231,4.66666666667,6.0,100.0,28.0,12.0,11703,24153,26892,52124,21912,6640,7553,15189,5,1,43,1,7,3,1,1,0,0.66049382716,18
10,1,2,2016-01-01-58,706,129,23,17,695,117,14,16,684,104,25,25,8,3.0,178,8,3.0,178,8,3.0,178,13,19,16,13,18,16,0,1,0,9.0,7.73684210526,9.0,117.0,147.0,144.0,11703,24153,26892,52124,21912,6640,7553,15189,5,1,55,1,10,11,11,1,0,0.593659942363,34
11,0,2,2016-01-01-70,624,146,45,27,634,160,38,12,658,145,25,25,2,7.0,205,2,6.0,205,2,6.0,205,21,8,27,21,8,26,0,0,1,6.7619047619,6.875,10.0740740741,142.0,55.0,272.0,11703,24153,26892,52124,21912,6640,7553,15189,5,1,67,0,11,4,18,1,0,0.666666666667,35
12,2,2,2016-01-01-82,588,164,42,20,587,178,34,30,570,215,41,11,2,10.0,232,2,10.0,232,2,10.0,232,18,27,28,18,27,28,0,0,0,5.66666666667,9.81481481481,9.32142857143,102.0,265.0,261.0,11703,24153,26892,52124,21912,6640,7553,15189,5,1,79,0,11,18,15,1,0,0.627906976744,47
13,1,2,2016-01-01-94,645,145,39,31,599,186,41,28,622,157,49,24,2,12.0,189,2,12.0,189,9,12.0,189,23,22,20,23,21,20,0,1,0,7.95652173913,8.04545454545,6.55,183.0,177.0,131.0,11703,24153,26892,52124,21912,6640,7553,15189,5,1,91,0,15,15,12,1,0,0.617768595041,33
14,1,2,2016-01-01-106,593,242,42,22,613,253,40,31,625,218,65,44,2,10.0,154,2,11.0,154,2,11.0,154,38,45,47,38,45,47,0,0,0,8.21052631579,11.0,11.5319148936,312.0,495.0,542.0,11703,24153,26892,52124,21912,6640,7553,15189,5,1,103,1,31,28,35,1,0,0.600997506234,61
15,0,2,2016-01-01-118,608,215,38,19,576,209,41,11,623,230,62,24,2,9.0,153,2,9.0,153,2,9.0,153,31,33,20,31,32,20,0,1,0,8.38709677419,13.4242424242,7.7,260.0,443.0,154.0,11703,24153,26892,52124,21912,6640,7553,15189,5,1,115,0,23,25,15,1,0,0.598333333333,38
16,1,2,2016-01-01-130,731,113,33,17,704,147,26,28,649,132,34,24,2,8.0,133,2,8.0,133,3,8.0,133,15,17,22,15,16,22,0,1,0,6.73333333333,16.4705882353,7.77272727273,101.0,280.0,171.0,11703,24153,26892,52124,21912,6640,7553,15189,5,1,127,1,10,13,17,1,0,0.59496124031,25
